Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,GameScoreAverage,GameScoreStd,GameScoreMedian,GameScoreMin,GameScoreMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,tdAbsErrAverage,tdAbsErrStd,tdAbsErrMedian,tdAbsErrMin,tdAbsErrMax
786,6,3.423842668533325,0.041181325912475586,0,3.465023994445801,4,0,0,nan,nan,0.0,0.0,131.0,21.31509637166422,118.5,113,161,0.3333333333333333,0.4714045207910317,0.0,0.0,1.0,0.3333333333333333,0.4714045207910317,0.0,0,1,0.13185684935310243,0.188477654755196,0.0,0.0,0.44304798162617254,0.3333333333333333,0.4714045207910317,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
690,6,5.885613679885864,3.143355131149292,249,9.028968811035156,1000,5,0,322.3546012515121,0.0,0.0,0.0,115.0,1.4142135623730951,114.0,114,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
567,5,8.144099235534668,47.58138608932495,499,55.72548532485962,2000,10,250,22.503247296019563,5.625811824004891,8.0,4.0,113.4,0.4898979485566356,113.0,113,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005410382528982154,0.008615675276215833,0.00018986166833201423,1.0913774531218223e-05,0.03396782651543617,0.0202977626399651,0.01614680671996777,0.013442458571799756,0.0021144465786017952,0.10257869773692761,0.022216376,0.09715229,0.007125859,6.5155327e-06,0.990174
635,5,11.481697797775269,91.64121127128601,749,103.12290906906128,3000,15,500,22.696413248807424,5.674103312201856,8.0,5.333333333333333,127.0,23.021728866442675,116.0,114,173,0.4,0.8,0.0,0.0,2.0,0.4,0.8,0.0,0,2,0.17983016729655027,0.35966033459310054,0.0,0.0,0.8991508364827514,0.4,0.8,0.0,0.0,2.0,0.0053192276766494614,0.00904075182596958,0.00017411853332305327,1.8036233086604625e-05,0.0462692566215992,0.02024121564508262,0.017397782204366503,0.012035991468103215,0.003537086665986922,0.092978869045092,0.020994792,0.09719538,0.007836869,1.4863908e-05,1.0
579,5,13.758915185928345,136.97105073928833,999,150.72996592521667,4000,20,750,22.060523746303705,5.515130936575926,8.0,6.0,115.8,1.16619037896906,116.0,114,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047197085709121895,0.008676705146983526,0.00014829823339823633,7.022832505754195e-06,0.04659054055809975,0.017680931568335573,0.016374126138844935,0.011019709541528833,0.0022366271773789376,0.11960956685938784,0.013917225,0.05451369,0.009223254,2.3983419e-05,0.9951271
807,7,16.07658100128174,182.79186725616455,1249,198.8684482574463,5000,26,1000,21.824141864248336,5.456035466062084,8.0,6.4,115.28571428571429,0.880630571852711,116.0,114,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425446675544299,0.0078354765133621,0.00014912876940798014,9.804025467019528e-06,0.031080743297934532,0.016223079805972176,0.015333406618688046,0.008735301503338802,0.0025097184495651848,0.08112929130985681,0.016785935,0.082744956,0.007027708,2.073124e-05,1.0
569,5,18.336704969406128,228.66943407058716,1499,247.0061390399933,6000,31,1250,21.797145520926545,5.449286380231636,8.0,6.666666666666667,113.8,1.4696938456699067,113.0,112,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005034939330176712,0.008277390140838654,0.00019567315030144528,7.268063200172037e-06,0.03198375925421715,0.019049105412103758,0.016319149952543185,0.01188095410854173,0.0023663063032217948,0.08830224148482795,0.020475883,0.09859232,0.0072523206,6.020069e-06,1.0
616,5,21.114617586135864,274.54941391944885,1749,295.6640315055847,7000,37,1500,21.79599911103297,5.448999777758242,8.0,6.857142857142857,123.2,9.947864092356712,118.0,117,143,0.2,0.4,0.0,0.0,1.0,0.2,0.4,0.0,0,1,0.059277317479841586,0.11855463495968317,0.0,0.0,0.2963865873992079,0.2,0.4,0.0,0.0,1.0,0.004753299410729596,0.008724056375841944,0.00020547427993733436,6.85608756612055e-06,0.06138646602630615,0.018538805601621407,0.017139280928351798,0.011707953862003441,0.002071884583355478,0.09540029204167687,0.016699756,0.083267994,0.0067816973,4.8428774e-07,1.0
711,6,23.466675281524658,320.6741271018982,1999,344.14080238342285,8000,43,1750,21.68035161637611,5.420087904094028,8.0,7.0,118.5,1.707825127659933,119.0,115,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003645302809810346,0.007162245794254738,0.00021145190839888528,2.7921112177864416e-06,0.031744394451379776,0.015479762301093176,0.015784084628656356,0.009228440156490533,0.0010535477067065244,0.08883182556359838,0.02086783,0.112823196,0.005169794,1.8030405e-06,1.0
694,6,25.770604848861694,366.7281320095062,2249,392.4987368583679,9000,50,2000,21.713638195118225,5.428409548779556,8.0,7.111111111111111,115.66666666666667,1.1055415967851334,115.5,114,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004171181968464225,0.00755583631245831,0.0002559383137850091,6.830257007095497e-06,0.03190771862864494,0.01719037142265735,0.01590099443520265,0.010324078353782592,0.001956589392089956,0.08844778984139966,0.017616134,0.09434534,0.005539514,1.167506e-05,1.0
