Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/CumTrainTime,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,GameScoreAverage,GameScoreStd,GameScoreMedian,GameScoreMin,GameScoreMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,tdAbsErrAverage,tdAbsErrStd,tdAbsErrMedian,tdAbsErrMin,tdAbsErrMax,priorityAverage,priorityStd,priorityMedian,priorityMin,priorityMax
17461,100,12.320133447647095,0.008063316345214844,0,12.32819676399231,960,0,0,nan,nan,0.0,0.0,174.61,60.560695999963535,163.0,113,413,1.41,1.4497930886854165,1.0,0.0,7.0,1.41,1.4497930886854165,1.0,0,7,1.0326442081601805,0.974402430907001,0.836300602362658,0.0,4.117328699232927,1.41,1.4497930886854165,1.0,0.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25131,100,29.319576025009155,511.4361493587494,1040,540.7557253837585,999360,4355,937,1954.0577204771264,1.8321246438591374,3.600384245917387,3.600384245917387,251.31,37.71304681406688,268.5,189,341,3.33,0.8491760712596652,4.0,2.0,5.0,3.33,0.8491760712596652,4.0,2,5,2.4397108860858157,0.45182618696141164,2.766100355524496,1.6855690188712977,3.2025078594391223,3.33,0.8491760712596652,4.0,2.0,5.0,0.0011537946485488137,0.000887766866069536,0.0011791931465268135,8.363729284610599e-05,0.004203287418931723,0.005398678616605803,0.007053173614428061,0.003697793936650853,0.00031576034679005923,0.15587528849450752,0.020276578,0.059773427,0.0,0.0,1.2170702,0.16549715,0.13638607,0.105868354,0.011309214,1.1048291
20420,101,43.30885076522827,1033.3263998031616,2081,1076.63525056839,1998720,8084,1978,1914.8853598031417,1.9946722497949392,4.0,3.8001921229586935,202.17821782178217,16.409606000787115,194.0,119,224,2.376237623762376,0.5422995618863031,2.0,0.0,3.0,2.376237623762376,0.5422995618863031,2.0,0,3,1.9077435189490197,0.3424166828918004,1.71623039964261,0.0,2.3108817205384593,2.376237623762376,0.5422995618863031,2.0,0.0,3.0,9.898156947169316e-05,0.00010998700988824013,7.095414912328124e-05,7.522575288021471e-06,0.0015783509006723762,0.0029967906752892534,0.002311645252345026,0.0023691497286868713,0.00022228557640446636,0.019849792727302924,0.004767956,0.021512808,0.0,0.0,0.943153,0.065097585,0.08703248,0.026106667,0.008637623,0.8765175
24076,101,59.746301889419556,1553.8608117103577,3122,1613.6071135997772,2998080,11745,3019,1919.8730710971167,1.99986778239283,4.0,3.866794748639129,238.37623762376236,49.09716603407164,195.0,188,294,2.9306930693069306,0.9975953835889108,2.0,2.0,4.0,2.9306930693069306,0.9975953835889108,2.0,2,4,2.21161123203016,0.5536408854213564,1.713505400809173,1.6828927036102126,2.896564689641896,2.9306930693069306,0.9975953835889108,2.0,2.0,4.0,8.90398912690791e-05,0.000366487012537185,2.107808177242987e-05,2.891674057536875e-06,0.005337871611118317,0.002398824809237913,0.008629251885066889,0.0011030520889857866,0.00011730938068264934,0.25224638171248265,0.0034813979,0.017187338,0.0,0.0,0.89888144,0.03899093,0.06373159,0.020508548,0.0050581205,1.1068053
24485,101,76.52793288230896,2073.849383831024,4163,2150.377316713333,3997440,15132,4060,1921.8883905935004,2.001967073534896,4.0,3.900096061479347,242.4257425742574,21.897306012091928,248.0,217,293,3.5346534653465347,0.4987976917944554,4.0,3.0,4.0,3.5346534653465347,0.4987976917944554,4.0,3,4,2.6175589782613433,0.23588787335986114,2.8073159047119534,2.3151540300069717,2.8730011021699644,3.5346534653465347,0.4987976917944554,4.0,3.0,4.0,3.1936859476830825e-05,8.509916705443225e-05,1.121424156735884e-05,1.9473766315059038e-06,0.0017899390077218413,0.0013646974121394445,0.001520034933421194,0.0009385031826342474,8.48645488089057e-05,0.016048804203568495,0.0022149927,0.01587107,0.0,0.0,0.8643701,0.023427445,0.05547125,0.012199635,0.0043684337,1.095725
19503,100,90.36236119270325,2594.788325071335,5204,2685.150686264038,4996800,18586,5101,1918.3822150454141,1.998314807338973,4.0,3.920076849183477,195.03,70.87996261285696,195.0,113,315,1.95,1.851350858157362,2.0,0.0,7.0,1.83,1.6003437130816618,2.0,0,4,1.3610936980671013,1.2121499219482246,1.6879565733302033,0.0,4.141403080082979,1.95,1.851350858157362,2.0,0.0,7.0,7.183957716547764e-05,0.00021259552100378392,2.0625555407605134e-05,2.1363662199291866e-06,0.003222463885322213,0.0025689811156658915,0.007717436604803267,0.0013371785497581549,0.00011622848049372171,0.21685318900374317,0.0031962292,0.018646643,0.0,0.0,0.83369434,0.03428581,0.074247405,0.012166926,6.625522e-05,1.1021173
22997,100,105.89565420150757,3119.067441701889,6245,3224.9630959033966,5996160,22201,6142,1906.1602270613096,1.9855835698555309,4.0,3.9333973743195645,229.97,10.055302083975398,224.0,217,244,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3,3,2.2858420410781513,0.02608477147150983,2.286977179187528,2.2322410066815994,2.34204356697657,3.0,0.0,3.0,3.0,3.0,8.543758395506749e-05,7.532533241834621e-05,6.528171797981486e-05,5.949086698819883e-06,0.0011176903499290347,0.003272393813947905,0.003999425478053124,0.002470205491884106,0.0003329640650145328,0.10119591312141134,0.005209481,0.023770105,0.0,0.0,0.859008,0.057286173,0.09465382,0.015882801,6.8480144e-06,1.0952218
14769,100,116.6138436794281,3642.8843083381653,7286,3759.4981520175934,6995520,25827,7183,1907.842346538886,1.987335777644673,4.0,3.942912035131055,147.69,36.268083765206015,144.0,113,304,0.94,0.9676776322722358,1.0,0.0,5.0,0.94,0.9676776322722358,1.0,0,5,0.7457719262544085,0.7155667618320649,0.798246224976786,0.0,3.5021469719579845,0.94,0.9676776322722358,1.0,0.0,5.0,6.456524102002829e-05,9.313319668457606e-05,4.376204014988616e-05,5.441619123303099e-06,0.0021052369847893715,0.002266551497806638,0.0025632977070183145,0.0017727906061485615,0.0002525155146031385,0.05557648972277914,0.0042319563,0.021826409,0.0,0.0,0.9012475,0.047337066,0.08958425,0.011341779,1.1851079e-07,1.0261339
13067,100,126.11601614952087,4171.29022026062,8327,4297.406236410141,7994880,30349,8224,1891.2733136616744,1.9700763683975775,4.0,3.9500480307396733,130.67,23.016974171250226,119.0,113,196,0.36,0.5748043145279967,0.0,0.0,2.0,0.36,0.5748043145279967,0.0,0,2,0.29061544967663056,0.45632844267449657,0.0,0.0,1.5159483865312198,0.36,0.5748043145279967,0.0,0.0,2.0,0.00012786384343362582,0.0001592674981958077,9.150386176770553e-05,8.193361509256647e-07,0.0018056189874187112,0.003737218578985505,0.004521813971648018,0.002535374437913542,5.7444747574124404e-05,0.0580264449016497,0.0066643436,0.025493784,0.0,0.0,0.8175086,0.06817327,0.09160641,0.020482488,2.1357555e-06,0.76433116
23404,101,142.03194975852966,4705.357859134674,9368,4847.389808893204,8994240,34626,9265,1871.2236564396542,1.9491913087913064,4.0,3.955598249546376,231.72277227722773,76.20466434255847,258.0,115,378,3.0297029702970297,2.1408587411123414,4.0,0.0,7.0,3.0297029702970297,2.1408587411123414,4.0,0,7,2.179129737529808,1.4187386058759548,2.8701990961428345,0.0,4.375944699241481,3.0297029702970297,2.1408587411123414,4.0,0.0,7.0,0.0001306704209187339,6.554936697691909e-05,0.00011809182615252212,1.825032632041257e-05,0.0010362186003476381,0.0036180878938255586,0.0024224074171540063,0.0030032872465693,0.0003191192231654598,0.019287079227947198,0.006426074,0.024158103,0.0,0.0,0.7552287,0.07644018,0.09564462,0.029845454,6.889924e-06,1.0797458
