Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,GameScoreAverage,GameScoreStd,GameScoreMedian,GameScoreMin,GameScoreMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,tdAbsErrAverage,tdAbsErrStd,tdAbsErrMedian,tdAbsErrMin,tdAbsErrMax,priorityAverage,priorityStd,priorityMedian,priorityMin,priorityMax
21317,122,2.310269355773926,0,0,3.660903215408325,0,0,0.0,0.0,nan,nan,nan,1.0,174.7295081967213,59.60966431784361,163.0,112,436,1.4262295081967213,1.3725531599301297,1.0,0.0,7.0,1.4262295081967213,1.3725531599301297,1.0,0,7,1.0352671503359374,0.9249301221961684,0.8579672599829772,0.0,3.8474467661115046,1.4262295081967213,1.3725531599301297,1.0,0.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18847,132,4.119352579116821,1286,946,624.364804983139,9989760,1287,0.9894291754756871,0.9894291754756871,16094.243924598686,16141.288795235767,2.0734524083620136,0.7230563566453456,142.78030303030303,29.935616365475088,119.0,113,180,0.8636363636363636,0.9906588508046984,0.0,0.0,2.0,0.8636363636363636,0.9906588508046984,0.0,0,2,0.6405288823872182,0.7356375198219467,0.0,0.0,1.5505416684136275,0.8636363636363636,0.9906588508046984,0.0,0.0,2.0,0.0002708635393694854,0.0004277908285973982,5.5229782446986064e-05,2.4018015665205894e-06,0.006651002448052168,0.0012147869039030282,0.0013430791542341544,0.0008625399540110407,6.935495851369719e-05,0.01691351317606039,0.020498062,0.05692736,0.0060847774,0.0,1.2349119,0.15731037,0.1391596,0.12453463,6.74529e-05,1.1285648
28216,120,6.731367111206055,2587,1892,1253.4763073921204,19979520,2588,1.0001921968095329,0.99481068614261,15879.156495704512,15945.360201097243,2.0679958878803464,0.7188097828085737,235.13333333333333,48.95353806303369,194.5,188,294,2.8833333333333333,0.9931711276959723,2.0,2.0,4.0,2.8833333333333333,0.9931711276959723,2.0,2,4,2.198017967764257,0.5593412554415275,1.71623039964261,1.6828927036102126,2.896564689641896,2.8833333333333333,0.9931711276959723,2.0,2.0,4.0,2.8225424953804067e-05,8.8985419349728e-05,7.939842362247873e-06,1.0094260005644173e-06,0.0009738558437675238,0.0007982725136002879,0.0024900582050641417,0.00047026773940218403,2.694759501910648e-05,0.0756818024700345,0.0069378125,0.025708156,0.0033127316,0.0,0.9592978,0.063751236,0.1029514,0.017601177,2.4005305e-05,1.1659513
24889,125,9.242064714431763,3888,2838,1870.8870522975922,29969280,3889,1.0001921968095329,0.9966045230315843,16180.087700821396,16246.152596390457,2.107187169538471,0.7316211268312591,199.112,66.79942706341126,210.0,113,363,1.848,1.523448719189458,2.0,0.0,6.0,1.848,1.523448719189458,2.0,0,6,1.3273600389375857,1.013404643430696,1.363315825850921,0.0,3.650350765978118,1.848,1.523448719189458,2.0,0.0,6.0,2.7675366846026868e-05,3.429973437157311e-05,1.576084287080448e-05,8.579935979469155e-07,0.00030088922358118,0.0010728113066434423,0.0013930623030658713,0.0005624081578278876,3.814616460525274e-05,0.01314219337356059,0.00537784,0.023053827,0.0019525744,0.0,1.1676226,0.057362456,0.092600435,0.025542434,5.8023255e-05,1.1165011
24091,122,11.554233312606812,5188,3784,2503.004059314728,39959040,5189,0.9994234095714011,0.9973092446665386,15803.656426110356,15861.675539168506,2.0565812746195564,0.7149261956258015,197.4672131147541,51.333078912080914,167.0,113,265,1.819672131147541,1.032396491398937,1.0,0.0,3.0,1.819672131147541,1.032396491398937,1.0,0,3,1.382707733735423,0.6855337245079952,0.9276389118674717,0.0,2.287276962358158,1.819672131147541,1.032396491398937,1.0,0.0,3.0,2.4041074190021252e-05,6.89788481447607e-05,1.124301525123883e-05,1.4676045339001575e-06,0.002009142190217972,0.0009286581192392337,0.0027069104712718253,0.00045860475000018537,7.721738401238185e-05,0.06109130814168959,0.005832578,0.0225217,0.0019721272,0.0,1.2032198,0.06714391,0.09070224,0.028849961,3.305124e-05,1.1158006
17636,125,13.467441320419312,6489,4730,3116.1935501098633,49948800,6490,1.0001921968095329,0.9978858350951374,16291.47294590139,16342.46294400345,2.121693244143774,0.7371122590653485,141.088,32.82828439014138,119.0,113,227,0.6,0.8390470785361211,0.0,0.0,3.0,0.6,0.8390470785361211,0.0,0,3,0.41327460629443674,0.561062800675264,0.0,0.0,2.159286673957529,0.6,0.8390470785361211,0.0,0.0,3.0,2.701623719256113e-05,3.195107683012847e-05,1.7489159290562384e-05,1.0105731007570284e-06,0.0005091374041512609,0.0008960276540539745,0.0008659359610702646,0.0006350903774221705,7.30754727602294e-05,0.007804265112205516,0.0053930427,0.02155668,0.0016762912,0.0,1.159209,0.059166342,0.082367025,0.028506579,8.063158e-06,1.1084939
31223,122,16.580368757247925,7790,5676,3735.1420238018036,59938560,7791,1.0001921968095329,0.9982702287142033,16139.889545914042,16221.47350984789,2.101952028800909,0.729379734954527,255.9262295081967,67.41201527781364,258.0,149,386,3.139344262295082,1.4503565066002118,3.0,1.0,6.0,3.139344262295082,1.4503565066002118,3.0,1,6,2.2361878701881013,0.8162036841388313,2.3481991329705925,0.8921050870283477,3.518861969344786,3.139344262295082,1.4503565066002118,3.0,1.0,6.0,3.387419056923599e-05,6.810919661113617e-05,7.625255420862231e-06,5.584544169323635e-07,0.0007080786745063961,0.000930155004649256,0.0019905776258113106,0.00034104485152758107,3.0964498511395735e-05,0.04113566592307966,0.0053423033,0.021617802,0.0014227193,0.0,0.8356198,0.05593061,0.08297661,0.022965902,2.9615823e-05,0.98244977
34464,120,19.998011350631714,9091,6622,4335.723850011826,69928320,9092,1.0001921968095329,0.9985447955849647,16633.470351642984,16728.665707140153,2.1662327150489626,0.7504919505379811,287.2,65.36915684530945,290.0,143,527,4.683333333333334,1.683168308742639,4.0,1.0,12.0,4.658333333333333,1.5942387594780847,4.0,1,9,2.917221516352897,0.71504646168229,2.8930524732381873,0.8631032605924442,5.263699842026381,4.683333333333334,1.683168308742639,4.0,1.0,12.0,0.00010851038838031599,6.707578315559549e-05,9.167570533463731e-05,1.2991526091354899e-05,0.0005181446322239935,0.0018990616357877682,0.0013330785354586808,0.0015290295402813365,0.0001332350569855634,0.00903113725314621,0.009391313,0.031945687,0.0026005444,0.0,1.1900795,0.1098246,0.108620174,0.069682404,2.0309817e-05,1.1049231
47784,121,24.73212766647339,10391,7568,4932.21955037117,79918080,10392,0.9994234095714011,0.9986546223332693,16747.41325709793,16881.393232287974,2.179395424337252,0.7542312544555083,394.90909090909093,129.24459481640304,358.0,166,636,7.991735537190083,3.9427637824385333,7.0,1.0,16.0,7.570247933884297,3.2672338902962994,7.0,1,14,4.3215797541508465,1.599514760919056,3.6568857796476184,0.7185672412601078,7.458008732013319,7.991735537190083,3.9427637824385333,7.0,1.0,16.0,0.000257232252623418,0.00023006829182511498,0.00017271734395762905,2.097596734529361e-05,0.0019407637882977724,0.0032718551288225565,0.006772924132821558,0.0022003853592114783,0.00024970996638268793,0.22312679215581244,0.014441399,0.040803075,0.003674289,0.0,1.2147831,0.14703111,0.11201835,0.12763955,2.0429725e-06,1.1288743
76237,120,31.472152709960938,11692,8514,5496.152910709381,89907840,11693,1.0001921968095329,0.998825463941743,17714.43348201423,17928.71408757247,2.3070101744286657,0.799001073580723,635.3083333333333,85.69994125176257,623.0,362,804,16.408333333333335,4.164324341621606,14.0,7.0,25.0,13.983333333333333,2.1251797309613343,14.0,7,19,6.5443169035571165,0.857055643513825,6.244530178544291,4.172374493116488,8.239913017034612,16.408333333333335,4.164324341621606,14.0,7.0,25.0,0.0010083122097484074,0.0003697238727702552,0.0009862598963081837,0.0001558465010020882,0.002338871592655778,0.007877420830829577,0.003665833427523786,0.007290700973336049,0.0011992019707894473,0.03178579733867919,0.026647357,0.05866726,0.008694619,0.0,1.4115274,0.22002186,0.13452624,0.20263268,5.046022e-05,1.3235769
